Wavelength,Intensity
3.661636787754677016e+02,7.268003540039062500e+02
3.666690560450767862e+02,7.392003173828125000e+02
3.671745443812486087e+02,7.330003051757812500e+02
3.676801437839831692e+02,7.240000000000000000e+02
3.681858542532804677e+02,7.088002319335937500e+02
3.686916757891405041e+02,6.944000854492187500e+02
3.691976083915632216e+02,6.802000732421875000e+02
3.697036520605486771e+02,6.856002197265625000e+02
3.702098067960968706e+02,6.948004150390625000e+02
3.707160725982078020e+02,6.876004028320312500e+02
3.712224494668814714e+02,6.990003662109375000e+02
3.717289374021178787e+02,6.984003906250000000e+02
3.722355364039169672e+02,7.306004638671875000e+02
3.727422464722787936e+02,7.500005493164062500e+02
3.732490676072034148e+02,7.308004760742187500e+02
3.737559998086907171e+02,7.122003173828125000e+02
3.742630430767407006e+02,7.282004394531250000e+02
3.747701974113534789e+02,7.368003540039062500e+02
3.752774628125289382e+02,7.310004272460937500e+02
3.757848392802671924e+02,7.078003540039062500e+02
3.762923268145681277e+02,7.012002563476562500e+02
3.767999254154318010e+02,6.922004394531250000e+02
3.773076350828581553e+02,6.940004272460937500e+02
3.778154558168473045e+02,7.058002929687500000e+02
3.783233876173991916e+02,7.112003173828125000e+02
3.788314304845137599e+02,6.988002319335937500e+02
3.793395844181910661e+02,6.798001708984375000e+02
3.798478494184311103e+02,6.658001708984375000e+02
3.803562254852338924e+02,6.890001220703125000e+02
3.808647126185993557e+02,6.998002319335937500e+02
3.813733108185276137e+02,6.927999877929687500e+02
3.818820200850185529e+02,7.062000732421875000e+02
3.823908404180722300e+02,7.492002563476562500e+02
3.828997718176887020e+02,7.538002319335937500e+02
3.834088142838678550e+02,7.340003051757812500e+02
3.839179678166096892e+02,7.126002807617187500e+02
3.844272324159143182e+02,7.260003662109375000e+02
3.849366080817816282e+02,7.374003295898437500e+02
3.854460948142116763e+02,7.074002075195312500e+02
3.859556926132044623e+02,6.980002441406250000e+02
3.864654014787599863e+02,6.860002441406250000e+02
3.869752214108782482e+02,6.980003051757812500e+02
3.874851524095591913e+02,7.098002929687500000e+02
3.879951944748029291e+02,7.180001831054687500e+02
3.885053476066093481e+02,7.410003662109375000e+02
3.890156118049785050e+02,7.384003295898437500e+02
3.895259870699103431e+02,7.150001831054687500e+02
3.900364734014050327e+02,6.992001342773437500e+02
3.905470707994623467e+02,6.920001831054687500e+02
3.910577792640823986e+02,7.026002197265625000e+02
3.915685987952651885e+02,7.030001220703125000e+02
3.920795293930107164e+02,7.294002685546875000e+02
3.925905710573190390e+02,7.342003173828125000e+02
3.931017237881899860e+02,7.354003906250000000e+02
3.936129875856237277e+02,7.042002563476562500e+02
3.941243624496201505e+02,7.000001220703125000e+02
3.946358483801793113e+02,7.248001708984375000e+02
3.951474453773012101e+02,7.062000732421875000e+02
3.956591534409858468e+02,7.111999511718750000e+02
3.961709725712332215e+02,7.017999877929687500e+02
3.966829027680432773e+02,7.177998657226562500e+02
3.971949440314160711e+02,7.249998779296875000e+02
3.977070963613516597e+02,7.324000244140625000e+02
