Wavelength,Intensity
3.280799870477200102e+02,1.711998901367187500e+02
3.285769232585617488e+02,1.857998809814453125e+02
3.290739705359661684e+02,1.597999420166015625e+02
3.295711288799333829e+02,1.414000396728515625e+02
3.300683982904632785e+02,1.502000579833984375e+02
3.305657787675559121e+02,1.548000183105468750e+02
3.310632703112112836e+02,1.651999664306640625e+02
3.315608729214293930e+02,1.428000335693359375e+02
3.320585865982102405e+02,1.420000305175781250e+02
3.325564113415537690e+02,1.438000030517578125e+02
3.330543471514600924e+02,1.470000000000000000e+02
3.335523940279290969e+02,1.591999206542968750e+02
3.340505519709607825e+02,1.705999145507812500e+02
3.345488209805552628e+02,1.585999450683593750e+02
3.350472010567124812e+02,1.631999664306640625e+02
3.355456921994324375e+02,1.480000152587890625e+02
3.360442944087150750e+02,1.272000427246093750e+02
3.365430076845604503e+02,1.186000518798828125e+02
3.370418320269685637e+02,1.130000610351562500e+02
3.375407674359394150e+02,1.192000579833984375e+02
3.380398139114729474e+02,1.240000534057617188e+02
3.385389714535692747e+02,1.379999847412109375e+02
3.390382400622282830e+02,1.615999450683593750e+02
3.395376197374500293e+02,1.759998779296875000e+02
3.400371104792345136e+02,1.621999053955078125e+02
3.405367122875817358e+02,1.845998992919921875e+02
3.410364251624916960e+02,2.003998870849609375e+02
3.415362491039643373e+02,2.169998931884765625e+02
3.420361841119997734e+02,2.143999481201171875e+02
3.425362301865978907e+02,2.083999328613281250e+02
3.430363873277587459e+02,2.009999542236328125e+02
3.435366555354822822e+02,2.171999206542968750e+02
3.440370348097686133e+02,2.131999664306640625e+02
3.445375251506176824e+02,1.958000030517578125e+02
3.450381265580294325e+02,1.696000366210937500e+02
3.455388390320039207e+02,1.598000335693359375e+02
3.460396625725411468e+02,1.686000061035156250e+02
3.465405971796411109e+02,1.693999481201171875e+02
3.470416428533038129e+02,1.551999816894531250e+02
3.475427995935292529e+02,1.677999877929687500e+02
3.480440674003173740e+02,1.699999542236328125e+02
3.485454462736682331e+02,1.569999389648437500e+02
3.490469362135818301e+02,1.417999877929687500e+02
3.495485372200581651e+02,1.421999969482421875e+02
3.500502492930971812e+02,1.673999328613281250e+02
3.505520724326989921e+02,1.819998931884765625e+02
3.510540066388634841e+02,1.795999145507812500e+02
3.515560519115907709e+02,1.294000396728515625e+02
3.520582082508807389e+02,1.489999847412109375e+02
3.525604756567333880e+02,1.735999450683593750e+02
3.530628541291488318e+02,1.777999725341796875e+02
3.535653436681270136e+02,1.391999969482421875e+02
3.540679442736678766e+02,1.276000518798828125e+02
3.545706559457714775e+02,1.288000488281250000e+02
3.550734786844378732e+02,1.390000000000000000e+02
3.555764124896668932e+02,1.791999969482421875e+02
3.560794573614587080e+02,1.555999908447265625e+02
3.565826132998132607e+02,1.290000305175781250e+02
3.570858803047304946e+02,1.246000366210937500e+02
3.575892583762104664e+02,1.417999420166015625e+02
3.580927475142531762e+02,1.659998626708984375e+02
3.585963477188586239e+02,1.591999053955078125e+02
3.591000589900268096e+02,1.445999908447265625e+02
