Wavelength,Intensity
4.095172543211822358e+02,1.908000335693359375e+02
4.100320722486233080e+02,2.230000000000000000e+02
4.105470012426270614e+02,2.135999450683593750e+02
4.110620413031935527e+02,2.032000122070312500e+02
4.115771924303227252e+02,2.000000000000000000e+02
4.120924546240147492e+02,2.022000427246093750e+02
4.126078278842693408e+02,2.097999877929687500e+02
4.131233122110867839e+02,2.449999542236328125e+02
4.136389076044669082e+02,2.839999694824218750e+02
4.141546140644097704e+02,2.953999938964843750e+02
4.146704315909153706e+02,2.713999633789062500e+02
4.151863601839836520e+02,2.333999786376953125e+02
4.157023998436147281e+02,2.254000091552734375e+02
4.162185505698084853e+02,2.564000549316406250e+02
4.167348123625649805e+02,2.208000335693359375e+02
4.172511852218842705e+02,2.402000579833984375e+02
4.177676691477661848e+02,2.528000946044921875e+02
4.182842641402108939e+02,2.806000061035156250e+02
4.188009701992183409e+02,2.944000549316406250e+02
4.193177873247884690e+02,2.982000732421875000e+02
4.198347155169212783e+02,2.928000183105468750e+02
4.203517547756168824e+02,2.920000610351562500e+02
4.208689051008752813e+02,2.788001708984375000e+02
4.213861664926963044e+02,2.960000000000000000e+02
4.219035389510801224e+02,2.966000366210937500e+02
4.224210224760266215e+02,3.235999450683593750e+02
4.229386170675358585e+02,3.843999938964843750e+02
4.234563227256078335e+02,4.480000915527343750e+02
4.239741394502425464e+02,4.740001525878906250e+02
4.244920672414399405e+02,4.664000549316406250e+02
4.250101060992001294e+02,4.554000549316406250e+02
4.255282560235229994e+02,4.970001220703125000e+02
4.260465170144086642e+02,5.524002075195312500e+02
4.265648890718570101e+02,6.226001586914062500e+02
4.270833721958680371e+02,6.325999145507812500e+02
4.276019663864418590e+02,6.171998901367187500e+02
4.281206716435783619e+02,6.872001953125000000e+02
4.286394879672776597e+02,7.726001586914062500e+02
4.291584153575396385e+02,8.326002197265625000e+02
4.296774538143643554e+02,8.468001098632812500e+02
4.301966033377518102e+02,8.821998901367187500e+02
4.307158639277020029e+02,9.767996826171875000e+02
4.312352355842148768e+02,1.042399902343750000e+03
4.317547183072905455e+02,1.110799804687500000e+03
4.322743120969288952e+02,1.204199951171875000e+03
4.327940169531299262e+02,1.283999755859375000e+03
4.333138328758938087e+02,1.314999755859375000e+03
4.338337598652203155e+02,1.420799560546875000e+03
4.343537979211096172e+02,1.502599365234375000e+03
4.348739470435616568e+02,1.578399902343750000e+03
4.353942072325763775e+02,1.676200073242187500e+03
4.359145784881537793e+02,1.790400024414062500e+03
4.364350608102939759e+02,1.943799682617187500e+03
4.369556541989969105e+02,2.102798828125000000e+03
4.374763586542625262e+02,2.251000000000000000e+03
4.379971741760909367e+02,2.436199707031250000e+03
4.385181007644820284e+02,2.590800048828125000e+03
4.390391384194358579e+02,2.789199462890625000e+03
4.395602871409524823e+02,3.052598144531250000e+03
4.400815469290316742e+02,3.274199951171875000e+03
4.406029177836737176e+02,3.544400390625000000e+03
4.411243997048784422e+02,3.859000244140625000e+03
4.416459926926459616e+02,4.135399414062500000e+03
4.421676967469761621e+02,4.466600097656250000e+03
4.426895118678691006e+02,4.854400390625000000e+03
4.432114380553247770e+02,5.233199218750000000e+03
4.437334753093431345e+02,5.593800292968750000e+03
4.442556236299242300e+02,5.915801269531250000e+03
4.447778830170681204e+02,6.302001953125000000e+03
4.453002534707746918e+02,6.637402343750000000e+03
4.458227349910440012e+02,6.874799316406250000e+03
4.463453275778760485e+02,7.086599121093750000e+03
4.468680312312708338e+02,7.374398437500000000e+03
4.473908459512282434e+02,7.609596679687500000e+03
4.479137717377484478e+02,7.697997558593750000e+03
4.484368085908314470e+02,7.722798828125000000e+03
4.489599565104771273e+02,7.779600097656250000e+03
4.494832154966855455e+02,7.826200195312500000e+03
4.500065855494566449e+02,7.711599609375000000e+03
4.505300666687905391e+02,7.648600585937500000e+03
4.510536588546871144e+02,7.492400390625000000e+03
4.515773621071464277e+02,7.237198730468750000e+03
4.521011764261684789e+02,6.958798828125000000e+03
4.526251018117532681e+02,6.684400878906250000e+03
4.531491382639007952e+02,6.319601074218750000e+03
4.536732857826110035e+02,6.001601074218750000e+03
4.541975443678838928e+02,5.647998046875000000e+03
4.547219140197196339e+02,5.319599121093750000e+03
4.552463947381180560e+02,4.971000000000000000e+03
4.557709865230792161e+02,4.671599609375000000e+03
4.562956893746030573e+02,4.332199707031250000e+03
4.568205032926896934e+02,4.021000488281250000e+03
4.573454282773390105e+02,3.753599853515625000e+03
4.578704643285511224e+02,3.562799316406250000e+03
4.583956114463258587e+02,3.265000488281250000e+03
4.589208696306633897e+02,3.186601318359375000e+03
4.594462388815636587e+02,3.036001708984375000e+03
4.599717191990266656e+02,2.876199218750000000e+03
4.604973105830523536e+02,2.740800048828125000e+03
4.610230130336407797e+02,2.602999755859375000e+03
4.615488265507918868e+02,2.470000976562500000e+03
4.620747511345057887e+02,2.390000976562500000e+03
4.626007867847824286e+02,2.290999755859375000e+03
4.631269335016218065e+02,2.183999755859375000e+03
4.636531912850238655e+02,2.033400756835937500e+03
4.641795601349887193e+02,1.925200561523437500e+03
4.647060400515161973e+02,1.863600463867187500e+03
4.652326310346064702e+02,1.795600463867187500e+03
4.657593330842594241e+02,1.724200073242187500e+03
4.662861462004751729e+02,1.675399902343750000e+03
4.668130703832536028e+02,1.594799682617187500e+03
4.673401056325948275e+02,1.518600219726562500e+03
4.678672519484987333e+02,1.427600097656250000e+03
